lever,target,spearman,preset
price_reduction_share,final_fed_deficit_B,0.1622518142518142,Korinek-Suh — AGI in 20 years
retained_profit_share,final_fed_deficit_B,-0.1595498795498795,Korinek-Suh — AGI in 20 years
reemployment_haircut,final_fed_deficit_B,0.1595450435450435,Korinek-Suh — AGI in 20 years
survivor_elasticity,final_fed_deficit_B,-0.0954113154113154,Korinek-Suh — AGI in 20 years
auto_cost,final_fed_deficit_B,0.0868126948126948,Korinek-Suh — AGI in 20 years
physical_feasibility,final_fed_deficit_B,0.0727126884196105,Korinek-Suh — AGI in 20 years
productivity_passthrough,final_fed_deficit_B,-0.0601242355572761,Korinek-Suh — AGI in 20 years
survivor_gains_share,final_fed_deficit_B,0.055090987090987,Korinek-Suh — AGI in 20 years
shareholder_eff_rate,final_fed_deficit_B,-0.0506201186201186,Korinek-Suh — AGI in 20 years
robotics_lag,final_fed_deficit_B,0.0449715689715689,Korinek-Suh — AGI in 20 years
survivor_raise_ceiling,final_fed_deficit_B,0.0421057141057141,Korinek-Suh — AGI in 20 years
state_cut_share,final_fed_deficit_B,-0.0324354204354204,Korinek-Suh — AGI in 20 years
baseline_growth_rate,final_fed_deficit_B,-0.0277553557553557,Korinek-Suh — AGI in 20 years
price_passthrough,final_fed_deficit_B,-0.0168011448011448,Korinek-Suh — AGI in 20 years
cg_realization_rate,final_fed_deficit_B,-0.0154467514467514,Korinek-Suh — AGI in 20 years
compute_effective_rate,final_fed_deficit_B,-0.0143343983343983,Korinek-Suh — AGI in 20 years
equity_pe_multiple,final_fed_deficit_B,0.0137323097323097,Korinek-Suh — AGI in 20 years
interest_rate,final_fed_deficit_B,-0.0136871056871056,Korinek-Suh — AGI in 20 years
ui_weeks,final_fed_deficit_B,0.013134869308064,Korinek-Suh — AGI in 20 years
cognitive_feasibility,final_fed_deficit_B,0.012535494163781,Korinek-Suh — AGI in 20 years
equity_taxable_share,final_fed_deficit_B,-0.0098514338514338,Korinek-Suh — AGI in 20 years
survivor_spillover_to_profit,final_fed_deficit_B,-0.0022002622002622,Korinek-Suh — AGI in 20 years
ubi_recapture_rate,final_fed_deficit_B,-0.0017176937176937,Korinek-Suh — AGI in 20 years
state_rate_hike_cap,final_fed_deficit_B,-0.0003787083787083,Korinek-Suh — AGI in 20 years
ssdi_annual,final_fed_deficit_B,0.6101314901314902,Korinek-Suh — AGI in 5 years
lfp_exit_rate,final_fed_deficit_B,0.5882468642468642,Korinek-Suh — AGI in 5 years
demand_multiplier,final_fed_deficit_B,0.2372123252123252,Korinek-Suh — AGI in 5 years
attrition_rate,final_fed_deficit_B,-0.1997112797112797,Korinek-Suh — AGI in 5 years
retained_profit_share,final_fed_deficit_B,-0.1519283959283959,Korinek-Suh — AGI in 5 years
price_reduction_share,final_fed_deficit_B,0.1481360081360081,Korinek-Suh — AGI in 5 years
mpc,final_fed_deficit_B,0.1425514068907878,Korinek-Suh — AGI in 5 years
reabsorption_rate,final_fed_deficit_B,-0.1211114651114651,Korinek-Suh — AGI in 5 years
consumption_stickiness,final_fed_deficit_B,0.1161970032208911,Korinek-Suh — AGI in 5 years
auto_cost,final_fed_deficit_B,0.1126855246855246,Korinek-Suh — AGI in 5 years
reemployment_haircut,final_fed_deficit_B,0.1046701646701646,Korinek-Suh — AGI in 5 years
cognitive_feasibility,final_fed_deficit_B,-0.0774289620380557,Korinek-Suh — AGI in 5 years
survivor_gains_share,final_fed_deficit_B,0.077034233034233,Korinek-Suh — AGI in 5 years
shareholder_eff_rate,final_fed_deficit_B,-0.0671685551685551,Korinek-Suh — AGI in 5 years
productivity_passthrough,final_fed_deficit_B,-0.0567429323177295,Korinek-Suh — AGI in 5 years
survivor_raise_ceiling,final_fed_deficit_B,0.0475088635088635,Korinek-Suh — AGI in 5 years
robotics_lag,final_fed_deficit_B,0.0418557778557778,Korinek-Suh — AGI in 5 years
state_cut_share,final_fed_deficit_B,-0.0337331257331257,Korinek-Suh — AGI in 5 years
adoption_end,final_fed_deficit_B,-0.0321969667128866,Korinek-Suh — AGI in 5 years
state_rate_hike_cap,final_fed_deficit_B,0.0299837099837099,Korinek-Suh — AGI in 5 years
survivor_elasticity,final_fed_deficit_B,-0.0249210729210729,Korinek-Suh — AGI in 5 years
physical_feasibility,final_fed_deficit_B,0.0218008620907569,Korinek-Suh — AGI in 5 years
ui_weeks,final_fed_deficit_B,0.0120952993562495,Korinek-Suh — AGI in 5 years
equity_taxable_share,final_fed_deficit_B,0.011086775086775,Korinek-Suh — AGI in 5 years
compute_effective_rate,final_fed_deficit_B,-0.0085577125577125,Korinek-Suh — AGI in 5 years
price_passthrough,final_fed_deficit_B,-0.0085483405483405,Korinek-Suh — AGI in 5 years
cg_realization_rate,final_fed_deficit_B,0.0077126837126837,Korinek-Suh — AGI in 5 years
interest_rate,final_fed_deficit_B,-0.0071377631377631,Korinek-Suh — AGI in 5 years
equity_pe_multiple,final_fed_deficit_B,0.0067114267114267,Korinek-Suh — AGI in 5 years
ubi_recapture_rate,final_fed_deficit_B,-0.0064800904800904,Korinek-Suh — AGI in 5 years
baseline_growth_rate,final_fed_deficit_B,-0.0058635583222503,Korinek-Suh — AGI in 5 years
survivor_spillover_to_profit,final_fed_deficit_B,0.0037969837969837,Korinek-Suh — AGI in 5 years
adoption_end,final_fed_deficit_B,0.3703419089578293,AI 2027 — Fast takeoff
demand_multiplier,final_fed_deficit_B,0.3528212928212928,AI 2027 — Fast takeoff
lfp_exit_rate,final_fed_deficit_B,0.2852807252807253,AI 2027 — Fast takeoff
mpc,final_fed_deficit_B,0.2785759377223836,AI 2027 — Fast takeoff
physical_feasibility,final_fed_deficit_B,0.2745775330203652,AI 2027 — Fast takeoff
consumption_stickiness,final_fed_deficit_B,0.2507595040122412,AI 2027 — Fast takeoff
reabsorption_rate,final_fed_deficit_B,-0.2377687897687897,AI 2027 — Fast takeoff
ssdi_annual,final_fed_deficit_B,0.2181737901737901,AI 2027 — Fast takeoff
auto_cost,final_fed_deficit_B,0.2083197403197403,AI 2027 — Fast takeoff
reemployment_haircut,final_fed_deficit_B,0.1994653874653874,AI 2027 — Fast takeoff
price_reduction_share,final_fed_deficit_B,0.1961300801300801,AI 2027 — Fast takeoff
retained_profit_share,final_fed_deficit_B,-0.1853576213576213,AI 2027 — Fast takeoff
attrition_rate,final_fed_deficit_B,-0.1773975453975454,AI 2027 — Fast takeoff
compute_effective_rate,final_fed_deficit_B,-0.1195137475137475,AI 2027 — Fast takeoff
survivor_elasticity,final_fed_deficit_B,-0.0853577053577053,AI 2027 — Fast takeoff
shareholder_eff_rate,final_fed_deficit_B,-0.069009429009429,AI 2027 — Fast takeoff
cognitive_feasibility,final_fed_deficit_B,0.0559657218409045,AI 2027 — Fast takeoff
survivor_raise_ceiling,final_fed_deficit_B,0.052015804015804,AI 2027 — Fast takeoff
survivor_gains_share,final_fed_deficit_B,0.0516868476868476,AI 2027 — Fast takeoff
interest_rate,final_fed_deficit_B,0.0292845412845412,AI 2027 — Fast takeoff
ubi_recapture_rate,final_fed_deficit_B,0.0292253812253812,AI 2027 — Fast takeoff
ui_weeks,final_fed_deficit_B,-0.0281830560657973,AI 2027 — Fast takeoff
equity_pe_multiple,final_fed_deficit_B,0.0274585474585474,AI 2027 — Fast takeoff
equity_taxable_share,final_fed_deficit_B,-0.0197773037773037,AI 2027 — Fast takeoff
baseline_growth_rate,final_fed_deficit_B,0.0159301942393362,AI 2027 — Fast takeoff
cg_realization_rate,final_fed_deficit_B,-0.0123609963609963,AI 2027 — Fast takeoff
robotics_lag,final_fed_deficit_B,-0.0121208161208161,AI 2027 — Fast takeoff
price_passthrough,final_fed_deficit_B,-0.0072875832875832,AI 2027 — Fast takeoff
state_rate_hike_cap,final_fed_deficit_B,-0.0063578943578943,AI 2027 — Fast takeoff
productivity_passthrough,final_fed_deficit_B,-0.001162001690304,AI 2027 — Fast takeoff
survivor_spillover_to_profit,final_fed_deficit_B,0.0005414045414045,AI 2027 — Fast takeoff
adoption_end,final_fed_deficit_B,0.5953389779914874,AI 2040 — Plan A (The Deal)
cognitive_feasibility,final_fed_deficit_B,0.3318519792960816,AI 2040 — Plan A (The Deal)
demand_multiplier,final_fed_deficit_B,0.3158921678921679,AI 2040 — Plan A (The Deal)
physical_feasibility,final_fed_deficit_B,0.2960488360287557,AI 2040 — Plan A (The Deal)
reabsorption_rate,final_fed_deficit_B,-0.1844800004800005,AI 2040 — Plan A (The Deal)
consumption_stickiness,final_fed_deficit_B,0.1841918753435116,AI 2040 — Plan A (The Deal)
mpc,final_fed_deficit_B,0.1804185935075559,AI 2040 — Plan A (The Deal)
ssdi_annual,final_fed_deficit_B,0.152999636999637,AI 2040 — Plan A (The Deal)
lfp_exit_rate,final_fed_deficit_B,0.1477929397929397,AI 2040 — Plan A (The Deal)
price_reduction_share,final_fed_deficit_B,0.1315666435666435,AI 2040 — Plan A (The Deal)
reemployment_haircut,final_fed_deficit_B,0.130998346998347,AI 2040 — Plan A (The Deal)
retained_profit_share,final_fed_deficit_B,-0.108083088083088,AI 2040 — Plan A (The Deal)
auto_cost,final_fed_deficit_B,0.0748292908292908,AI 2040 — Plan A (The Deal)
baseline_growth_rate,final_fed_deficit_B,-0.0548027889433372,AI 2040 — Plan A (The Deal)
equity_pe_multiple,final_fed_deficit_B,0.0508295308295308,AI 2040 — Plan A (The Deal)
cg_realization_rate,final_fed_deficit_B,-0.0504247824247824,AI 2040 — Plan A (The Deal)
attrition_rate,final_fed_deficit_B,-0.0469728589728589,AI 2040 — Plan A (The Deal)
ui_weeks,final_fed_deficit_B,0.0370509754061062,AI 2040 — Plan A (The Deal)
compute_effective_rate,final_fed_deficit_B,-0.0347005307005307,AI 2040 — Plan A (The Deal)
survivor_gains_share,final_fed_deficit_B,-0.0286705846705846,AI 2040 — Plan A (The Deal)
equity_taxable_share,final_fed_deficit_B,-0.0283440523440523,AI 2040 — Plan A (The Deal)
state_cut_share,final_fed_deficit_B,-0.0265677745677745,AI 2040 — Plan A (The Deal)
productivity_passthrough,final_fed_deficit_B,-0.0215734326275855,AI 2040 — Plan A (The Deal)
interest_rate,final_fed_deficit_B,-0.0166853806853806,AI 2040 — Plan A (The Deal)
price_passthrough,final_fed_deficit_B,-0.0161981921981922,AI 2040 — Plan A (The Deal)
survivor_spillover_to_profit,final_fed_deficit_B,-0.0136499056499056,AI 2040 — Plan A (The Deal)
survivor_elasticity,final_fed_deficit_B,-0.013096237096237,AI 2040 — Plan A (The Deal)
survivor_raise_ceiling,final_fed_deficit_B,-0.0129827169827169,AI 2040 — Plan A (The Deal)
state_rate_hike_cap,final_fed_deficit_B,-0.0085486285486285,AI 2040 — Plan A (The Deal)
ubi_recapture_rate,final_fed_deficit_B,-0.0046606726606726,AI 2040 — Plan A (The Deal)
robotics_lag,final_fed_deficit_B,0.0044222564222564,AI 2040 — Plan A (The Deal)
shareholder_eff_rate,final_fed_deficit_B,0.0012953772953772,AI 2040 — Plan A (The Deal)
lfp_exit_rate,final_fed_deficit_B,0.4897620697620697,AI 2040 — Plan D (The Race)
ssdi_annual,final_fed_deficit_B,0.4429798309798309,AI 2040 — Plan D (The Race)
demand_multiplier,final_fed_deficit_B,0.2791879471879472,AI 2040 — Plan D (The Race)
auto_cost,final_fed_deficit_B,0.2665642825642825,AI 2040 — Plan D (The Race)
retained_profit_share,final_fed_deficit_B,-0.2211450651450651,AI 2040 — Plan D (The Race)
price_reduction_share,final_fed_deficit_B,0.2204400884400884,AI 2040 — Plan D (The Race)
mpc,final_fed_deficit_B,0.1759737273649159,AI 2040 — Plan D (The Race)
attrition_rate,final_fed_deficit_B,-0.153005685005685,AI 2040 — Plan D (The Race)
consumption_stickiness,final_fed_deficit_B,0.1422433290102496,AI 2040 — Plan D (The Race)
reabsorption_rate,final_fed_deficit_B,-0.1061330861330861,AI 2040 — Plan D (The Race)
survivor_gains_share,final_fed_deficit_B,0.1011518811518811,AI 2040 — Plan D (The Race)
cognitive_feasibility,final_fed_deficit_B,-0.0982019619574863,AI 2040 — Plan D (The Race)
reemployment_haircut,final_fed_deficit_B,0.0928138408138408,AI 2040 — Plan D (The Race)
compute_effective_rate,final_fed_deficit_B,-0.0844766644766644,AI 2040 — Plan D (The Race)
shareholder_eff_rate,final_fed_deficit_B,-0.0662187182187182,AI 2040 — Plan D (The Race)
productivity_passthrough,final_fed_deficit_B,-0.0638326775578581,AI 2040 — Plan D (The Race)
survivor_elasticity,final_fed_deficit_B,-0.0579226659226659,AI 2040 — Plan D (The Race)
equity_pe_multiple,final_fed_deficit_B,-0.0348731748731748,AI 2040 — Plan D (The Race)
