group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Total
State & local,State consumption tax,flow,-3.834721177019127,-9.324096703119617,-15.900208953147912,-22.88217262513382,-30.200696351283085,-37.72728059457572,-45.425234571426856,-53.26013852494506,-61.211376477164976,-69.26089120476189,-77.3946168907422,-84.09320867710618,-89.93955248309696,-95.34588709865875,-100.5507025393464,-105.56676838218611,-110.05755529805154,-112.05901769657822,-109.32949688372888,-106.10355528700791,-1339.467178419081
State & local,Survivor wage taxes (state),flow,0.60442021092959,-4.561897062494107,-10.436058674087054,-16.874173913933777,-22.695593725204198,-27.629864897640793,-31.356053964198004,-33.69332103351555,-34.46784329096475,-33.52867423291576,-30.731201464856174,-27.539971433605025,-22.12152410556923,-15.811059473445429,-8.565195803065258,-0.6331026257177697,2.377216164993235,0.08071843317396495,0.0,0.0,-317.58318089211616
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,5.566518343572716,14.179720293250552,24.662033704465163,35.84757171056799,47.60675516934408,59.71266957208716,72.09459605943509,84.685612433811,97.44113159507708,110.31868932272626,123.27849203825956,133.36460250656992,141.8409016220657,149.52647080291476,156.84064944756452,163.80359399495563,169.7952478070272,171.48190185337427,165.68490899164124,159.1527473099173,2086.884814578627
State & local,Net fiscal impact (state),net,-20.723161867052113,-54.41412869840034,-94.59967872518384,-137.53836196055417,-181.66622703879457,-226.02373211108005,-270.08550546264485,-313.4787558892172,-355.9098126840289,-397.11954420518913,-436.87273922425004,-467.3366875825459,-491.84823165601097,-513.1006240293815,-532.3045338539512,-549.7590937084142,-568.6169864026666,-577.7456851202636,-560.9560729280179,-543.4103335585769,-7293.509896706224
State & local,Gap states must close,memo,20.723161867052113,54.41412869840034,94.59967872518384,137.53836196055417,181.66622703879457,226.02373211108005,270.08550546264485,313.4787558892172,355.9098126840289,397.11954420518913,436.87273922425004,467.3366875825459,491.84823165601097,513.1006240293815,532.3045338539512,549.7590937084142,568.6169864026666,577.7456851202636,560.9560729280179,543.4103335585769,7293.509896706224
State & local,…closed via rate hikes,memo,10.361580933526056,27.20706434920017,47.29983936259192,68.76918098027708,90.83311351939729,113.01186605554003,135.04275273132242,156.7393779446086,177.95490634201445,198.55977210259456,218.43636961212502,233.66834379127295,245.92411582800548,256.55031201469075,266.1522669269756,274.8795468542071,284.3084932013333,288.8728425601318,280.47803646400894,271.70516677928845,3646.754948353112
State & local,…closed via spending cuts,memo,10.361580933526056,27.20706434920017,47.29983936259192,68.76918098027708,90.83311351939729,113.01186605554003,135.04275273132242,156.7393779446086,177.95490634201445,198.55977210259456,218.43636961212502,233.66834379127295,245.92411582800548,256.55031201469075,266.1522669269756,274.8795468542071,284.3084932013333,288.8728425601318,280.47803646400894,271.70516677928845,3646.754948353112
