group,label,kind,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Total
Federal revenue changes,Federal VAT,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Tax on UI benefits,flow,1.1826002169419412,0.8002923037999031,0.9396204340191913,1.0789485642384793,1.2182766944577685,0.869956368909546,0.869956368909548,0.869956368909548,0.869956368909546,0.8699563689095478,0.8699563689095461,0.869956368909548,0.8699563689095481,0.8699563689095459,0.8699563689095478,13.919301902552759
Federal revenue changes,Income tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Capital tax surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Excise surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal revenue changes,Δ Federal revenue,subtotal,-6.3186361828781035,-24.461821849728388,-44.13608772811118,-65.66390570998992,-89.56064022715228,-114.71750424163741,-137.1659561796955,-158.78667083689504,-180.65296310972482,-203.28904777673227,-226.94304868066766,-251.75121889004,-277.7868271890908,-305.09645887687884,-333.70487997961794,-2420.0356674588406
Federal outlay changes,Means-tested transfers,flow,5.962881053703383,12.517094340921924,20.04797791738252,28.245743435898895,37.56025508711952,45.615187815392595,53.22383866575217,60.63514731278921,68.22216089281001,76.0168067942895,84.08678217540549,92.45714017873811,101.1511103230521,110.18465951339026,119.5712302674975,915.498015774143
Federal outlay changes,Unemployment insurance,flow,11.826002169419414,8.00292303799903,9.396204340191913,10.789485642384793,12.182766944577684,8.69956368909546,8.699563689095479,8.699563689095479,8.69956368909546,8.699563689095479,8.699563689095461,8.699563689095479,8.69956368909548,8.69956368909546,8.699563689095479,139.19301902552755
Federal outlay changes,SSDI,flow,0.0,2.2048456097111915,6.091183046326901,11.95909523469109,19.81018418679337,29.785786002324663,41.0596944959307,53.49426576329953,66.90560064972875,81.24553697350456,96.48082516850647,112.60284854027431,129.61171089026482,147.51477625647018,166.32364627165046,965.0899990894769
Federal outlay changes,UBI (gross),flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal outlay changes,Δ Federal outlays,subtotal,17.7888832231228,22.724862988632147,35.53536530390134,50.99432431297478,69.55320621849057,84.10053750681271,102.98309685077834,122.82897676518422,143.82732523163423,165.96190745688955,189.2671710330074,213.7595524081079,239.4623849024124,266.3989994589559,294.59444022824346,2019.7810338891477
Net,Net fiscal impact (federal),net,-24.107519406000904,-47.186684838360534,-79.67145303201252,-116.6582300229647,-159.11384644564285,-198.81804174845013,-240.14905303047385,-281.61564760207926,-324.480288341359,-369.2509552336218,-416.2102197136751,-465.5107712981479,-517.2492120915032,-571.4954583358348,-628.2993202078615,-4439.816701347988
Levels,Federal revenue (absolute),level,4976.481363817122,4958.338178150272,4938.663912271889,4917.13609429001,4893.239359772848,4868.082495758363,4845.634043820305,4824.0133291631055,4802.147036890276,4779.510952223268,4755.856951319332,4731.04878110996,4705.013172810909,4677.703541123122,4649.095120020383,4649.095120020383
Levels,Federal deficit (absolute),level,1857.1075194060008,1880.1866848383606,1912.6714530320126,1949.6582300229647,1992.1138464456428,2031.81804174845,2073.149053030474,2114.615647602079,2157.480288341359,2202.250955233622,2249.210219713675,2298.510771298148,2350.249212091503,2404.495458335835,2461.2993202078615,2461.2993202078615
Levels,Federal debt (Δ cumulative),level,24.107519406000893,72.01742982654146,153.84940575335023,275.1231179489154,442.4906579330257,654.5834194194665,914.3699750325244,1223.4167218855794,1584.5995118835058,2001.388452473633,2477.6403257615166,3017.4803068325105,3625.253928128989,4305.5070043086935,5062.971534645815,5062.971534645815
Levels,Deficit (% of GDP),level,6.329466751243907,6.185749911347306,6.073485332119236,5.974580443504623,5.890601938944233,5.7991691375202565,5.7114627138159095,5.6232129198048195,5.537791543165123,5.4562425299622745,5.378911644536701,5.305774871005347,5.23666163476512,5.171342339338901,5.109552870199025,5.109552870199025
State & local,State income tax,flow,-3.577902767216957,-6.480210201189171,-10.034713017300847,-13.874154350693724,-18.20326186600351,-21.888207212361433,-25.58755501082004,-29.216431608709065,-32.940022392334534,-36.77282190050973,-40.74502815870739,-44.867877993900606,-49.151789819061634,-53.60393751486041,-58.230345159206294,-445.1742589728754
State & local,State consumption tax,flow,-1.150416353105738,-2.344468934582594,-3.689678319659441,-5.1425874744531335,-6.7837828811414145,-8.251892106698037,-9.653509450149791,-11.024261685657917,-12.428993093808469,-13.873150470448609,-15.36854757571068,-16.919565858938487,-18.530293541650707,-20.20355555622545,-21.941739844290538,-167.306443146521
State & local,Survivor wage taxes (state),flow,0.3839311565538011,-0.47645222324153447,-1.1305706442461692,-1.9572140222917984,-2.812392454130386,-3.887638667175692,-4.637619549494294,-5.355618305346994,-6.010471066449913,-6.654465439351526,-7.288515815207405,-7.91825545743784,-8.542667402179255,-9.159965470791418,-9.766930386264763,-75.21484574705518
State & local,State income surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State corporate surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State consumption surcharge,flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State & local,State transfers (outlay),flow,1.669955503071815,3.6295700334419374,5.821815463098344,8.200198157678004,10.897335016124492,13.264130465850156,15.465323617936743,17.603856264796004,19.790547633080475,22.03529302153343,24.35825085238065,26.7669301082531,29.268229294372635,31.86687062532596,34.56680347284975,265.2051095297935
State & local,Net fiscal impact (state),net,-6.01434346684071,-12.930701392455237,-20.6767774443048,-29.174154005116666,-38.69677221739979,-47.291868452085325,-55.34400762840087,-63.20016786450999,-71.1700341856734,-79.3357308318433,-87.76034240200615,-96.47262941853003,-105.4929800572642,-114.83432916720326,-124.5058188626113,-952.9006573962449
State & local,Gap states must close,memo,6.01434346684071,12.930701392455237,20.6767774443048,29.174154005116666,38.69677221739979,47.291868452085325,55.34400762840087,63.20016786450999,71.1700341856734,79.3357308318433,87.76034240200615,96.47262941853003,105.4929800572642,114.83432916720326,124.5058188626113,952.9006573962449
State & local,…closed via rate hikes,memo,6.01434346684071,12.930701392455237,20.6767774443048,29.174154005116666,38.69677221739979,47.291868452085325,55.34400762840087,63.20016786450999,71.1700341856734,79.3357308318433,87.76034240200615,96.47262941853003,105.4929800572642,114.83432916720326,124.5058188626113,952.9006573962449
State & local,…closed via spending cuts,memo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
