filing_status,state,income_band_lo,income_band_hi,n_children,prob,source_level,n_unweighted
Single,Maryland,55000.0,,0,1.0,filing_state_band,4644
Single,Maryland,55000.0,,1,0.0,filing_state_band,4644
Single,Maryland,55000.0,,2,0.0,filing_state_band,4644
Single,Maryland,55000.0,,3+,0.0,filing_state_band,4644
Single,Massachusetts,,25000.0,0,1.0,filing_state_band,2486
Single,Massachusetts,,25000.0,1,0.0,filing_state_band,2486
Single,Massachusetts,,25000.0,2,0.0,filing_state_band,2486
Single,Massachusetts,,25000.0,3+,0.0,filing_state_band,2486
Single,Massachusetts,25000.0,55000.0,0,1.0,filing_state_band,2407
Single,Massachusetts,25000.0,55000.0,1,0.0,filing_state_band,2407
Single,Massachusetts,25000.0,55000.0,2,0.0,filing_state_band,2407
Single,Massachusetts,25000.0,55000.0,3+,0.0,filing_state_band,2407
Single,Massachusetts,55000.0,,0,1.0,filing_state_band,6006
Single,Massachusetts,55000.0,,1,0.0,filing_state_band,6006
Single,Massachusetts,55000.0,,2,0.0,filing_state_band,6006
Single,Massachusetts,55000.0,,3+,0.0,filing_state_band,6006
Single,Michigan,,25000.0,0,1.0,filing_state_band,4334
Single,Michigan,,25000.0,1,0.0,filing_state_band,4334
Single,Michigan,,25000.0,2,0.0,filing_state_band,4334
Single,Michigan,,25000.0,3+,0.0,filing_state_band,4334
Single,Michigan,25000.0,55000.0,0,1.0,filing_state_band,5081
Single,Michigan,25000.0,55000.0,1,0.0,filing_state_band,5081
Single,Michigan,25000.0,55000.0,2,0.0,filing_state_band,5081
Single,Michigan,25000.0,55000.0,3+,0.0,filing_state_band,5081
Single,Michigan,55000.0,,0,1.0,filing_state_band,5842
Single,Michigan,55000.0,,1,0.0,filing_state_band,5842
Single,Michigan,55000.0,,2,0.0,filing_state_band,5842
Single,Michigan,55000.0,,3+,0.0,filing_state_band,5842
Single,Minnesota,,25000.0,0,1.0,filing_state_band,2016
Single,Minnesota,,25000.0,1,0.0,filing_state_band,2016
Single,Minnesota,,25000.0,2,0.0,filing_state_band,2016
Single,Minnesota,,25000.0,3+,0.0,filing_state_band,2016
Single,Minnesota,25000.0,55000.0,0,1.0,filing_state_band,2451
Single,Minnesota,25000.0,55000.0,1,0.0,filing_state_band,2451
Single,Minnesota,25000.0,55000.0,2,0.0,filing_state_band,2451
Single,Minnesota,25000.0,55000.0,3+,0.0,filing_state_band,2451
Single,Minnesota,55000.0,,0,1.0,filing_state_band,3449
Single,Minnesota,55000.0,,1,0.0,filing_state_band,3449
Single,Minnesota,55000.0,,2,0.0,filing_state_band,3449
Single,Minnesota,55000.0,,3+,0.0,filing_state_band,3449
Single,Mississippi,,25000.0,0,1.0,filing_state_band,1743
