ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_5,2024,1745.986,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_6,2024,1.09,U,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_7,2024,91.261,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_8,2024,64.518,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_G,OCU_ISCO08_9,2024,391.48,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_TOTAL,2024,1700.799,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_1,2024,20.949,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_2,2024,52.435,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_3,2024,253.932,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_4,2024,26.723,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_5,2024,9.308,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_7,2024,44.766,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_8,2024,880.405,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_H,OCU_ISCO08_9,2024,412.282,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_TOTAL,2024,2321.555,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_1,2024,19.943,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_2,2024,14.982,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_3,2024,31.562,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_4,2024,1620.042,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_5,2024,192.654,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_7,2024,53.703,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_8,2024,11.093,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_I,OCU_ISCO08_9,2024,377.576,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_J,OCU_ISCO08_TOTAL,2024,1109.441,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_J,OCU_ISCO08_1,2024,23.155,,,,R1:3513
KOR,BA:222,EMP_TEMP_ECO_OCU_NB,ECO_ISIC4_J,OCU_ISCO08_2,2024,765.735,,,,R1:3513
